>>> Training text translator configs...
d_model: 512
n_layers: 6
n_heads: 8
d_ff: 2048
max_len: 256
dropout: 0.1
batch_size: 128
epochs: 10
warmup: 100
init_lr: 1e-05
factor: 0.9
adam_eps: 5e-09
patience: 10
clip: 1.0
weight_decay: 0.0005
gpu_id: 0
src_mode: en
tgt_mode: de
data_path: ./data/multi30k/task1/raw/
>>> Loading the dataset...
>>> Loading the dataset... Done! <<<
>>> Building the transformer model...
>>> trainable parameters: 69384975 trainable parameters size: 264.682674407959 MB <<<
>>> Building the transformer model... Done! <<<
>>> Building the optimizer, scheduler and criterion...
>>> Building the optimizer, scheduler and criterion... Done! <<<
[Step: 111/227 | Batch Loss: 6.6660 | Batch Time: 0.10s | Elapsed Time: 9.74s | Estimated Remaining Time: 0h 0m 11s]
[Step: 112/227 | Batch Loss: 6.6638 | Batch Time: 0.09s | Elapsed Time: 9.83s | Estimated Remaining Time: 0h 0m 10s]
[Step: 113/227 | Batch Loss: 6.7517 | Batch Time: 0.07s | Elapsed Time: 9.91s | Estimated Remaining Time: 0h 0m 8s]
[Step: 114/227 | Batch Loss: 6.6531 | Batch Time: 0.08s | Elapsed Time: 10.00s | Estimated Remaining Time: 0h 0m 8s]
[Step: 115/227 | Batch Loss: 6.7069 | Batch Time: 0.07s | Elapsed Time: 10.08s | Estimated Remaining Time: 0h 0m 8s]
[Step: 116/227 | Batch Loss: 6.5778 | Batch Time: 0.08s | Elapsed Time: 10.16s | Estimated Remaining Time: 0h 0m 8s]
[Step: 117/227 | Batch Loss: 6.6584 | Batch Time: 0.08s | Elapsed Time: 10.24s | Estimated Remaining Time: 0h 0m 8s]
[Step: 118/227 | Batch Loss: 6.6197 | Batch Time: 0.08s | Elapsed Time: 10.33s | Estimated Remaining Time: 0h 0m 8s]
[Step: 119/227 | Batch Loss: 6.6353 | Batch Time: 0.08s | Elapsed Time: 10.41s | Estimated Remaining Time: 0h 0m 8s]
[Step: 120/227 | Batch Loss: 6.7003 | Batch Time: 0.08s | Elapsed Time: 10.49s | Estimated Remaining Time: 0h 0m 8s]
[Step: 121/227 | Batch Loss: 6.5451 | Batch Time: 0.08s | Elapsed Time: 10.58s | Estimated Remaining Time: 0h 0m 8s]
[Step: 122/227 | Batch Loss: 6.6993 | Batch Time: 0.08s | Elapsed Time: 10.66s | Estimated Remaining Time: 0h 0m 8s]
[Step: 123/227 | Batch Loss: 6.6228 | Batch Time: 0.07s | Elapsed Time: 10.74s | Estimated Remaining Time: 0h 0m 7s]
[Step: 124/227 | Batch Loss: 6.6302 | Batch Time: 0.08s | Elapsed Time: 10.83s | Estimated Remaining Time: 0h 0m 8s]
[Step: 125/227 | Batch Loss: 6.6647 | Batch Time: 0.09s | Elapsed Time: 10.92s | Estimated Remaining Time: 0h 0m 8s]
[Step: 126/227 | Batch Loss: 6.6062 | Batch Time: 0.08s | Elapsed Time: 11.00s | Estimated Remaining Time: 0h 0m 7s]
[Step: 127/227 | Batch Loss: 6.6447 | Batch Time: 0.09s | Elapsed Time: 11.10s | Estimated Remaining Time: 0h 0m 9s]
[Step: 128/227 | Batch Loss: 6.6913 | Batch Time: 0.21s | Elapsed Time: 11.31s | Estimated Remaining Time: 0h 0m 20s]
[Step: 129/227 | Batch Loss: 6.5588 | Batch Time: 0.08s | Elapsed Time: 11.40s | Estimated Remaining Time: 0h 0m 7s]
[Step: 130/227 | Batch Loss: 6.4915 | Batch Time: 0.08s | Elapsed Time: 11.48s | Estimated Remaining Time: 0h 0m 7s]
[Step: 131/227 | Batch Loss: 6.5108 | Batch Time: 0.08s | Elapsed Time: 11.57s | Estimated Remaining Time: 0h 0m 8s]
[Step: 132/227 | Batch Loss: 6.5536 | Batch Time: 0.08s | Elapsed Time: 11.65s | Estimated Remaining Time: 0h 0m 7s]
[Step: 133/227 | Batch Loss: 6.6544 | Batch Time: 0.08s | Elapsed Time: 11.73s | Estimated Remaining Time: 0h 0m 7s]
[Step: 134/227 | Batch Loss: 6.5032 | Batch Time: 0.08s | Elapsed Time: 11.82s | Estimated Remaining Time: 0h 0m 7s]
[Step: 135/227 | Batch Loss: 6.5510 | Batch Time: 0.08s | Elapsed Time: 11.91s | Estimated Remaining Time: 0h 0m 7s]
[Step: 136/227 | Batch Loss: 6.6119 | Batch Time: 0.08s | Elapsed Time: 11.99s | Estimated Remaining Time: 0h 0m 6s]
[Step: 137/227 | Batch Loss: 6.4103 | Batch Time: 0.08s | Elapsed Time: 12.08s | Estimated Remaining Time: 0h 0m 7s]
[Step: 138/227 | Batch Loss: 6.3712 | Batch Time: 0.10s | Elapsed Time: 12.18s | Estimated Remaining Time: 0h 0m 8s]
[Step: 139/227 | Batch Loss: 6.4972 | Batch Time: 0.07s | Elapsed Time: 12.26s | Estimated Remaining Time: 0h 0m 6s]
[Step: 140/227 | Batch Loss: 6.3788 | Batch Time: 0.08s | Elapsed Time: 12.35s | Estimated Remaining Time: 0h 0m 6s]
[Step: 141/227 | Batch Loss: 6.4228 | Batch Time: 0.08s | Elapsed Time: 12.43s | Estimated Remaining Time: 0h 0m 6s]
[Step: 142/227 | Batch Loss: 6.4794 | Batch Time: 0.08s | Elapsed Time: 12.51s | Estimated Remaining Time: 0h 0m 6s]
[Step: 143/227 | Batch Loss: 6.5569 | Batch Time: 0.09s | Elapsed Time: 12.60s | Estimated Remaining Time: 0h 0m 7s]
[Step: 144/227 | Batch Loss: 6.5509 | Batch Time: 0.08s | Elapsed Time: 12.69s | Estimated Remaining Time: 0h 0m 6s]
[Step: 145/227 | Batch Loss: 6.3923 | Batch Time: 0.08s | Elapsed Time: 12.78s | Estimated Remaining Time: 0h 0m 6s]
[Step: 146/227 | Batch Loss: 6.5452 | Batch Time: 0.09s | Elapsed Time: 12.88s | Estimated Remaining Time: 0h 0m 7s]
[Step: 147/227 | Batch Loss: 6.4661 | Batch Time: 0.08s | Elapsed Time: 12.97s | Estimated Remaining Time: 0h 0m 6s]
[Step: 148/227 | Batch Loss: 6.5626 | Batch Time: 0.09s | Elapsed Time: 13.06s | Estimated Remaining Time: 0h 0m 6s]
[Step: 149/227 | Batch Loss: 6.4336 | Batch Time: 0.09s | Elapsed Time: 13.15s | Estimated Remaining Time: 0h 0m 6s]
[Step: 150/227 | Batch Loss: 6.4103 | Batch Time: 0.08s | Elapsed Time: 13.24s | Estimated Remaining Time: 0h 0m 6s]
[Step: 151/227 | Batch Loss: 6.5087 | Batch Time: 0.08s | Elapsed Time: 13.33s | Estimated Remaining Time: 0h 0m 5s]
[Step: 152/227 | Batch Loss: 6.4753 | Batch Time: 0.08s | Elapsed Time: 13.41s | Estimated Remaining Time: 0h 0m 5s]
[Step: 153/227 | Batch Loss: 6.4133 | Batch Time: 0.07s | Elapsed Time: 13.49s | Estimated Remaining Time: 0h 0m 5s]
[Step: 154/227 | Batch Loss: 6.4157 | Batch Time: 0.08s | Elapsed Time: 13.58s | Estimated Remaining Time: 0h 0m 6s]
[Step: 155/227 | Batch Loss: 6.3780 | Batch Time: 0.08s | Elapsed Time: 13.66s | Estimated Remaining Time: 0h 0m 5s]
[Step: 156/227 | Batch Loss: 6.3442 | Batch Time: 0.07s | Elapsed Time: 13.74s | Estimated Remaining Time: 0h 0m 5s]
[Step: 157/227 | Batch Loss: 6.4359 | Batch Time: 0.08s | Elapsed Time: 13.83s | Estimated Remaining Time: 0h 0m 5s]
[Step: 158/227 | Batch Loss: 6.3148 | Batch Time: 0.07s | Elapsed Time: 13.90s | Estimated Remaining Time: 0h 0m 4s]
[Step: 159/227 | Batch Loss: 6.4460 | Batch Time: 0.07s | Elapsed Time: 13.98s | Estimated Remaining Time: 0h 0m 4s]
[Step: 160/227 | Batch Loss: 6.4151 | Batch Time: 0.08s | Elapsed Time: 14.06s | Estimated Remaining Time: 0h 0m 5s]
[Step: 161/227 | Batch Loss: 6.4335 | Batch Time: 0.08s | Elapsed Time: 14.15s | Estimated Remaining Time: 0h 0m 5s]
[Step: 162/227 | Batch Loss: 6.3866 | Batch Time: 0.08s | Elapsed Time: 14.23s | Estimated Remaining Time: 0h 0m 4s]
[Step: 163/227 | Batch Loss: 6.4838 | Batch Time: 0.09s | Elapsed Time: 14.32s | Estimated Remaining Time: 0h 0m 5s]
[Step: 164/227 | Batch Loss: 6.4322 | Batch Time: 0.07s | Elapsed Time: 14.40s | Estimated Remaining Time: 0h 0m 4s]
[Step: 165/227 | Batch Loss: 6.3120 | Batch Time: 0.08s | Elapsed Time: 14.48s | Estimated Remaining Time: 0h 0m 4s]
[Step: 166/227 | Batch Loss: 6.3512 | Batch Time: 0.08s | Elapsed Time: 14.56s | Estimated Remaining Time: 0h 0m 4s]
[Step: 167/227 | Batch Loss: 6.2766 | Batch Time: 0.07s | Elapsed Time: 14.64s | Estimated Remaining Time: 0h 0m 4s]
[Step: 168/227 | Batch Loss: 6.3447 | Batch Time: 0.09s | Elapsed Time: 14.74s | Estimated Remaining Time: 0h 0m 5s]
[Step: 169/227 | Batch Loss: 6.3221 | Batch Time: 0.08s | Elapsed Time: 14.82s | Estimated Remaining Time: 0h 0m 4s]
[Step: 170/227 | Batch Loss: 6.4063 | Batch Time: 0.08s | Elapsed Time: 14.90s | Estimated Remaining Time: 0h 0m 4s]
[Step: 171/227 | Batch Loss: 6.4043 | Batch Time: 0.07s | Elapsed Time: 14.98s | Estimated Remaining Time: 0h 0m 4s]
[Step: 172/227 | Batch Loss: 6.3824 | Batch Time: 0.09s | Elapsed Time: 15.07s | Estimated Remaining Time: 0h 0m 4s]
